"","gene"
"983","ENSDARG00000035985,FAM210A,,"
"984","ENSDARG00000061590,cachd1,6,protein_coding"
"985","ENSDARG00000063069,gripap1,8,protein_coding"
"986","ENSDARG00000063014,dbpa,19,protein_coding"
"987","ENSDARG00000062085,tkfc,7,protein_coding"
"988","ENSDARG00000031228,podxl,4,protein_coding"
"989","ENSDARG00000076398,si:dkey-201l21.4,7,protein_coding"
"990","ENSDARG00000063195,pxk,22,protein_coding"
"991","ENSDARG00000074390,tmem176l.4,16,protein_coding"
"992","ENSDARG00000059781,atcayb,2,protein_coding"
"993","ENSDARG00000062204,sigirr,25,protein_coding"
"994","ENSDARG00000071446,zgc:153659,24,protein_coding"
"995","ENSDARG00000024488,top2a,12,protein_coding"
"996","ENSDARG00000061180,vps45,19,protein_coding"
"997","ENSDARG00000076363,CABZ01077228.1,22,protein_coding"
"998","ENSDARG00000086746,si:ch73-209e20.3,21,protein_coding"
"999","ENSDARG00000040528,lgals3bpb,3,protein_coding"
"1000","ENSDARG00000059933,ppap2b,20,protein_coding"
"1001","ENSDARG00000077372,tfr1b,24,protein_coding"
"1002","ENSDARG00000059672,arhgap6,7,protein_coding"
"1003","ENSDARG00000063126,gusb,5,protein_coding"
"1004","ENSDARG00000070174,PLEKHH3,3,protein_coding"
"1005","ENSDARG00000035961,KCNG2,19,protein_coding"
"1006","ENSDARG00000062476,snapc5,18,protein_coding"
"1007","ENSDARG00000075718,rpz5,16,protein_coding"
"1008","ENSDARG00000013500,abca2,5,protein_coding"
"1009","ENSDARG00000069150,rit1,19,protein_coding"
"1010","ENSDARG00000055945,asph,2,protein_coding"
"1011","ENSDARG00000059817,mtmr12,5,protein_coding"
"1012","ENSDARG00000079752,col6a6,16,protein_coding"
"1013","ENSDARG00000079326,CABIN1,,"
"1014","ENSDARG00000053468,adam10a,7,protein_coding"
"1015","ENSDARG00000061656,ptpdc1a,11,protein_coding"
"1016","ENSDARG00000060366,slc12a9,5,protein_coding"
"1017","ENSDARG00000056605,wbp2,12,protein_coding"
"1018","ENSDARG00000068231,CRACR2A,,"
"1019","ENSDARG00000068681,crfb1,9,protein_coding"
"1020","ENSDARG00000071361,si:ch211-197g15.10,22,protein_coding"
"1021","ENSDARG00000060596,prkaa1,5,protein_coding"
"1022","ENSDARG00000071084,wipf1b,6,protein_coding"
"1023","ENSDARG00000070480,agr2,19,protein_coding"
"1024","ENSDARG00000076075,myh7ba,11,protein_coding"
"1025","ENSDARG00000058538,alcamb,15,protein_coding"
"1026","ENSDARG00000070038,rbp2a,15,protein_coding"
"1027","ENSDARG00000075759,samd4a,17,protein_coding"
"1028","ENSDARG00000061459,RAPGEF2,,"
"1029","ENSDARG00000069630,tat,18,protein_coding"
"1030","ENSDARG00000060946,pip5kl1,5,protein_coding"
"1031","ENSDARG00000069549,zgc:162396,9,protein_coding"
"1032","ENSDARG00000062379,slc35a4,14,protein_coding"
"1033","ENSDARG00000060977,zgc:153018,14,protein_coding"
"1034","ENSDARG00000008322,ambra1a,7,protein_coding"
"1035","ENSDARG00000026926,rom1b,14,protein_coding"
"1036","ENSDARG00000090730,zgc:158446,21,protein_coding"
"1037","ENSDARG00000031731,si:ch73-27e22.6,22,protein_coding"
"1038","ENSDARG00000077326,slc45a4,16,protein_coding"
"1039","ENSDARG00000071413,mier2,22,protein_coding"
"1040","ENSDARG00000079843,si:dkey-234i14.9,25,protein_coding"
"1041","ENSDARG00000073726,zbtb32,15,protein_coding"
"1042","ENSDARG00000070698,kbtbd8,11,protein_coding"
"1043","ENSDARG00000060149,ablim1a,13,protein_coding"
"1044","ENSDARG00000071261,BX248496.1,23,protein_coding"
"1045","ENSDARG00000068981,glceb,7,protein_coding"
"1046","ENSDARG00000018159,ano10b,25,protein_coding"
"1047","ENSDARG00000069996,dnajb14,1,protein_coding"
"1048","ENSDARG00000074854,sh2d1ab,14,protein_coding"
"1049","ENSDARG00000060457,pmp22b,12,protein_coding"
"1050","ENSDARG00000067605,napaa,5,protein_coding"
"1051","ENSDARG00000044925,cdk5rap1,11,protein_coding"
"1052","ENSDARG00000059254,illr1,19,protein_coding"
"1053","ENSDARG00000013721,g6pca.2,12,protein_coding"
"1054","ENSDARG00000062460,C24H8orf44,24,protein_coding"
"1055","ENSDARG00000014113,wasla,25,protein_coding"
"1056","ENSDARG00000070570,ppp4ca,3,protein_coding"
"1057","ENSDARG00000070170,SCN1B,,"
"1058","ENSDARG00000060645,sirt7,22,protein_coding"
"1059","ENSDARG00000070266,spock3,1,protein_coding"
"1060","ENSDARG00000076609,si:ch211-199g17.9,19,protein_coding"
"1061","ENSDARG00000030307,hspa12b,7,protein_coding"
"1062","ENSDARG00000061923,amotl2a,6,protein_coding"
"1063","ENSDARG00000056075,rca2.1,23,protein_coding"
"1064","ENSDARG00000063258,rfx5,19,protein_coding"
"1065","ENSDARG00000039131,atp1a1a.3,1,protein_coding"
"1066","ENSDARG00000078355,zc3h4,15,protein_coding"
"1067","ENSDARG00000015224,cd2ap,20,protein_coding"
"1068","ENSDARG00000061233,abcc5,18,protein_coding"
"1069","ENSDARG00000063474,arfgef1,24,protein_coding"
"1070","ENSDARG00000068587,rabggtb,2,protein_coding"
"1071","ENSDARG00000059391,gyg1b,24,protein_coding"
"1072","ENSDARG00000068262,vamp5,5,protein_coding"
"1073","ENSDARG00000068784,C13H10orf54,13,protein_coding"
"1074","ENSDARG00000071065,g6pd,23,protein_coding"
"1075","ENSDARG00000003820,nr1d2a,16,protein_coding"
"1076","ENSDARG00000037783,proza,3,protein_coding"
"1077","ENSDARG00000071868,znf711,14,protein_coding"
"1078","ENSDARG00000062266,edc4,18,protein_coding"
"1079","ENSDARG00000071024,TRIM14,,"
"1080","ENSDARG00000056152,fam3c,4,protein_coding"
"1081","ENSDARG00000037309,gatb,1,protein_coding"
"1082","ENSDARG00000074014,zgc:194275,17,protein_coding"
"1083","ENSDARG00000079333,cd40lg,14,protein_coding"
"1084","ENSDARG00000074143,myo10l3,9,protein_coding"
"1085","ENSDARG00000071570,CCDC71,22,protein_coding"
"1086","ENSDARG00000075765,C20H8orf82,20,protein_coding"
"1087","ENSDARG00000069485,spryd7b,9,protein_coding"
"1088","ENSDARG00000008703,apeh,8,protein_coding"
"1089","ENSDARG00000070155,tuba8l3,9,protein_coding"
"1090","ENSDARG00000069376,tnfsf12,7,protein_coding"
"1091","ENSDARG00000070686,cdipt,3,protein_coding"
"1092","ENSDARG00000070025,dchs1a,15,protein_coding"
"1093","ENSDARG00000062485,dock11,7,protein_coding"
"1094","ENSDARG00000040503,CABZ01070258.1,18,protein_coding"
"1095","ENSDARG00000074652,smtna,10,protein_coding"
"1096","ENSDARG00000051955,brms1,7,protein_coding"
"1097","ENSDARG00000007836,ctsla,5,protein_coding"
"1098","ENSDARG00000090873,ccl34a.4,2,processed_transcript"
"1099","ENSDARG00000090882,si:rp71-36a1.5,22,protein_coding"
"1100","ENSDARG00000091137,CABZ01079258.1,21,protein_coding"
"1101","ENSDARG00000074686,mgea5,13,protein_coding"
"1102","ENSDARG00000090612,FO904898.3,22,protein_coding"
"1103","ENSDARG00000077253,alkbh6,5,protein_coding"
"1104","ENSDARG00000077202,mocs2,10,protein_coding"
"1105","ENSDARG00000031136,moxd1,20,protein_coding"
"1106","ENSDARG00000004621,gpm6ab,1,protein_coding"
"1107","ENSDARG00000091277,adra2da,14,protein_coding"
"1108","ENSDARG00000077364,mapk9,21,protein_coding"
"1109","ENSDARG00000088124,adrb2a,14,protein_coding"
"1110","ENSDARG00000076850,si:ch211-157b11.14,6,protein_coding"
"1111","ENSDARG00000090431,ftr04,2,protein_coding"
"1112","ENSDARG00000021455,strbp,10,protein_coding"
"1113","ENSDARG00000076981,zgc:198329,16,protein_coding"
"1114","ENSDARG00000080020,il13ra1,7,protein_coding"
"1115","ENSDARG00000079401,si:dkey-197c15.6,24,protein_coding"
"1116","ENSDARG00000076380,hnrnpa0l,20,protein_coding"
"1117","ENSDARG00000074581,add2,5,protein_coding"
"1118","ENSDARG00000086724,im:7151449,6,protein_coding"
"1119","ENSDARG00000087226,kbtbd2,12,protein_coding"
"1120","ENSDARG00000089717,qpct,17,protein_coding"
"1121","ENSDARG00000087956,she,16,protein_coding"
"1122","ENSDARG00000073789,BX537350.1,22,protein_coding"
"1123","ENSDARG00000079994,AKAP13,,"
"1124","ENSDARG00000061424,znf646p,12,protein_coding"
"1125","ENSDARG00000077546,ZDHHC1,7,protein_coding"
"1126","ENSDARG00000090346,CT574587.1,24,protein_coding"
"1127","ENSDARG00000077881,chl1a,23,protein_coding"
"1128","ENSDARG00000078125,rusc1,16,protein_coding"
"1129","ENSDARG00000074453,zfx,24,protein_coding"
"1130","ENSDARG00000075015,soul5,3,protein_coding"
"1131","ENSDARG00000099674,dicp3.1,16,protein_coding"
"1132","ENSDARG00000063095,ctsf,14,protein_coding"
"1133","ENSDARG00000073999,tapt1a,14,protein_coding"
"1134","ENSDARG00000077473,mych,6,protein_coding"
"1135","ENSDARG00000088560,tmem104,3,protein_coding"
"1136","ENSDARG00000101853,znf977,4,protein_coding"
"1137","ENSDARG00000077943,ints5,14,protein_coding"
"1138","ENSDARG00000091236,CABZ01058646.1,5,protein_coding"
"1139","ENSDARG00000075492,BX511227.1,14,protein_coding"
"1140","ENSDARG00000091124,rps19bp1,6,protein_coding"
"1141","ENSDARG00000077012,eif4ea,14,protein_coding"
"1142","ENSDARG00000008030,myl9b,6,protein_coding"
"1143","ENSDARG00000075253,pik3cb,15,protein_coding"
"1144","ENSDARG00000076651,zmp:0000001167,25,protein_coding"
"1145","ENSDARG00000079453,atp8b4,25,protein_coding"
"1146","ENSDARG00000089205,si:dkey-73n8.3,24,protein_coding"
"1147","ENSDARG00000089538,RNF166,7,protein_coding"
"1148","ENSDARG00000090767,si:ch211-136m16.8,12,protein_coding"
"1149","ENSDARG00000075707,nid2a,17,protein_coding"
"1150","ENSDARG00000087188,nfil3-6,3,protein_coding"
"1151","ENSDARG00000078574,SENP1,23,protein_coding"
"1152","ENSDARG00000077414,zgc:194312,7,protein_coding"
"1153","ENSDARG00000075389,,1,protein_coding"
"1154","ENSDARG00000076586,csf2rb,3,protein_coding"
"1155","ENSDARG00000012460,rassf4,13,protein_coding"
"1156","ENSDARG00000078647,samsn1b,10,protein_coding"
"1157","ENSDARG00000087377,lbh,13,protein_coding"
"1158","ENSDARG00000079932,zgc:152830,8,protein_coding"
"1159","ENSDARG00000077999,si:ch1073-59l16.1,24,protein_coding"
"1160","ENSDARG00000091699,capn2a,13,protein_coding"
"1161","ENSDARG00000089361,wu:fb59d01,10,protein_coding"
"1162","ENSDARG00000074846,ARHGAP30,2,protein_coding"
"1163","ENSDARG00000077400,rbm10,23,protein_coding"
"1164","ENSDARG00000076624,ptprb,4,protein_coding"
"1165","ENSDARG00000076552,zgc:193801,21,protein_coding"
"1166","ENSDARG00000071213,rgl3a,6,protein_coding"
"1167","ENSDARG00000077571,zgc:174862,23,protein_coding"
"1168","ENSDARG00000076386,epdl1,7,protein_coding"
"1169","ENSDARG00000077982,elf3,22,protein_coding"
"1170","ENSDARG00000076490,ankrd40,3,protein_coding"
"1171","ENSDARG00000078805,ap5b1,11,protein_coding"
"1172","ENSDARG00000086586,BX323854.3,24,protein_coding"
"1173","ENSDARG00000079105,mhc2dab,8,protein_coding"
"1174","ENSDARG00000077237,RFX7,,"
"1175","ENSDARG00000079078,si:xx-by187g17.1,3,protein_coding"
"1176","ENSDARG00000090751,zc3h3,6,protein_coding"
"1177","ENSDARG00000057218,tbc1d15,18,protein_coding"
"1178","ENSDARG00000078458,ppp1r37,18,protein_coding"
"1179","ENSDARG00000089156,egr3,8,protein_coding"
"1180","ENSDARG00000077907,si:dkey-183p4.10,8,protein_coding"
"1181","ENSDARG00000076439,ppp4cb,12,protein_coding"
"1182","ENSDARG00000074094,tgm2b,6,protein_coding"
"1183","ENSDARG00000076221,zgc:198419,3,protein_coding"
"1184","ENSDARG00000088019,si:ch211-114l13.12,1,protein_coding"
"1185","ENSDARG00000079250,zbtb5,1,processed_transcript"
"1186","ENSDARG00000043046,fbxl5,23,protein_coding"
"1187","ENSDARG00000088981,tmem220,3,protein_coding"
"1188","ENSDARG00000074533,slc25a38b,6,protein_coding"
"1189","ENSDARG00000088219,CR847844.3,10,protein_coding"
"1190","ENSDARG00000071667,si:dkey-222f2.7,22,protein_coding"
"1191","ENSDARG00000079438,PKP3,,"
"1192","ENSDARG00000090062,rac3a,3,protein_coding"
"1193","ENSDARG00000091234,CU019646.2,7,protein_coding"
"1194","ENSDARG00000077709,iqsec2,8,protein_coding"
"1195","ENSDARG00000088900,si:dkey-21o19.2,23,protein_coding"
"1196","ENSDARG00000005590,mtf2,2,protein_coding"
"1197","ENSDARG00000075515,CD37,12,protein_coding"
"1198","ENSDARG00000078772,NBR1,,"
"1199","ENSDARG00000053646,adrb3a,8,protein_coding"
"1200","ENSDARG00000086947,si:ch211-147m6.1,25,protein_coding"
"1201","ENSDARG00000087793,si:dkey-54n8.2,15,protein_coding"
"1202","ENSDARG00000079366,ppp1r9ba,3,protein_coding"
"1203","ENSDARG00000074656,ctssb.1,16,protein_coding"
"1204","ENSDARG00000086805,ccdc129,24,protein_coding"
"1205","ENSDARG00000018411,mknk1,11,protein_coding"
"1206","ENSDARG00000089327,CRTAM,10,protein_coding"
"1207","ENSDARG00000076542,pogzb,16,protein_coding"
"1208","ENSDARG00000087953,otud4,5,protein_coding"
"1209","ENSDARG00000089232,prr14,3,protein_coding"
"1210","ENSDARG00000012005,mob2b,18,protein_coding"
"1211","ENSDARG00000075807,si:dkey-161l11.26,2,TR_J_gene"
"1212","ENSDARG00000078205,ccl34b.9,24,protein_coding"
"1213","ENSDARG00000091411,si:ch211-214p13.9,9,protein_coding"
"1214","ENSDARG00000086154,CABZ01053196.1,9,protein_coding"
"1215","ENSDARG00000076768,REPS2,23,protein_coding"
"1216","ENSDARG00000089372,clk4a,14,protein_coding"
"1217","ENSDARG00000076950,kel,16,protein_coding"
"1218","ENSDARG00000076897,si:ch73-212p10.4,7,lincRNA"
"1219","ENSDARG00000078139,appl2,25,protein_coding"
"1220","ENSDARG00000077143,znf526,16,protein_coding"
"1221","ENSDARG00000079516,cisd1,13,protein_coding"
"1222","ENSDARG00000077215,EIF4G3,,"
"1223","ENSDARG00000090615,BX957297.1,7,protein_coding"
"1224","ENSDARG00000013252,TMC5,3,protein_coding"
"1225","ENSDARG00000009123,sele,20,protein_coding"
"1226","ENSDARG00000090770,RNF31,2,protein_coding"
"1227","ENSDARG00000087837,FO834877.1,4,protein_coding"
"1228","ENSDARG00000088650,TSNARE1,16,protein_coding"
"1229","ENSDARG00000088802,U5,5,snRNA"
"1230","ENSDARG00000074303,phf12a,10,protein_coding"
"1231","ENSDARG00000089129,baxa,3,protein_coding"
"1232","ENSDARG00000078829,ccdc149a,7,protein_coding"
"1233","ENSDARG00000075821,plxnb1a,23,protein_coding"
"1234","ENSDARG00000090481,tusc5a,15,protein_coding"
"1235","ENSDARG00000042698,si:dkey-15j16.6,20,protein_coding"
"1236","ENSDARG00000079102,PRRG3,21,protein_coding"
"1237","ENSDARG00000079043,si:dkeyp-75b4.10,1,protein_coding"
"1238","ENSDARG00000091087,BX530067.1,19,protein_coding"
"1239","ENSDARG00000055510,ypel3,3,protein_coding"
"1240","ENSDARG00000086703,si:dkey-126g1.7,23,protein_coding"
"1241","ENSDARG00000039576,fstl1b,9,protein_coding"
"1242","ENSDARG00000018404,krt18,23,protein_coding"
"1243","ENSDARG00000075014,sqstm1,14,protein_coding"
"1244","ENSDARG00000087337,otud4,5,protein_coding"
"1245","ENSDARG00000038862,kcnb2,2,protein_coding"
"1246","ENSDARG00000075625,lrig1,11,protein_coding"
"1247","ENSDARG00000079672,eftud1,7,protein_coding"
"1248","ENSDARG00000074262,nck1a,2,protein_coding"
"1249","ENSDARG00000087438,si:dkey-257i7.5,4,protein_coding"
"1250","ENSDARG00000090537,ifit11,12,protein_coding"
"1251","ENSDARG00000078547,si:ch211-264f5.2,19,protein_coding"
"1252","ENSDARG00000091574,suox,11,protein_coding"
"1253","ENSDARG00000008155,sms,21,protein_coding"
"1254","ENSDARG00000074024,si:ch211-152n14.4,6,protein_coding"
"1255","ENSDARG00000086950,PLEKHG4B,,"
"1256","ENSDARG00000076765,ddhd2,10,protein_coding"
"1257","ENSDARG00000087162,TMEM102,7,protein_coding"
"1258","ENSDARG00000036282,rnaset2,13,protein_coding"
"1259","ENSDARG00000074611,wdr37,24,protein_coding"
"1260","ENSDARG00000078976,nanos1,14,protein_coding"
"1261","ENSDARG00000075178,lpcat3,16,protein_coding"
"1262","ENSDARG00000087554,cdk1,17,protein_coding"
"1263","ENSDARG00000089202,nkl.3,17,protein_coding"
"1264","ENSDARG00000068374,si:ch211-132b12.7,18,protein_coding"
"1265","ENSDARG00000089019,si:ch211-175m2.5,14,protein_coding"
"1266","ENSDARG00000074544,znf1007,15,protein_coding"
"1267","ENSDARG00000007534,itln1,1,protein_coding"
"1268","ENSDARG00000056741,senp3b,7,protein_coding"
"1269","ENSDARG00000015156,fbln2,11,protein_coding"
"1270","ENSDARG00000091419,nrarpa,10,protein_coding"
"1271","ENSDARG00000075194,si:dkey-56e3.3,1,protein_coding"
"1272","ENSDARG00000076873,C8H9orf172,,"
"1273","ENSDARG00000088927,CR450793.1,10,protein_coding"
"1274","ENSDARG00000078284,phkb,7,protein_coding"
"1275","ENSDARG00000079252,fam117ab,12,protein_coding"
"1276","ENSDARG00000009473,ppardb,8,protein_coding"
"1277","ENSDARG00000089706,ANPEP,,"
"1278","ENSDARG00000077081,slc38a10,12,protein_coding"
"1279","ENSDARG00000086740,phyh,4,protein_coding"
"1280","ENSDARG00000104308,BX537263.2,5,miRNA"
"1281","ENSDARG00000077174,QSOX2,5,protein_coding"
"1282","ENSDARG00000078069,rrm2,19,protein_coding"
"1283","ENSDARG00000071576,si:dkey-102c8.3,22,protein_coding"
"1284","ENSDARG00000079199,megf6a,23,protein_coding"
"1285","ENSDARG00000077760,ascc1,12,protein_coding"
"1286","ENSDARG00000079780,HNRNPUL1,,"
"1287","ENSDARG00000089930,iqce,1,protein_coding"
"1288","ENSDARG00000086332,bri3,3,protein_coding"
"1289","ENSDARG00000074319,sall1a,7,protein_coding"
"1290","ENSDARG00000074804,atxn7,11,protein_coding"
"1291","ENSDARG00000077753,CABZ01069216.1,6,protein_coding"
"1292","ENSDARG00000083108,SNORA73,20,snoRNA"
"1293","ENSDARG00000082447,BX005308.1,17,miRNA"
"1294","ENSDARG00000073909,ppip5k1b,25,protein_coding"
"1295","ENSDARG00000087641,cdh26.2,23,protein_coding"
"1296","ENSDARG00000005284,fbxl15,12,protein_coding"
"1297","ENSDARG00000086789,bahd1,17,protein_coding"
"1298","ENSDARG00000088332,alx4a,7,protein_coding"
"1299","ENSDARG00000091555,ostf1,5,protein_coding"
"1300","ENSDARG00000087927,nudt9,3,protein_coding"
"1301","ENSDARG00000054746,uggt1,2,protein_coding"
"1302","ENSDARG00000079133,si:dkey-10c21.1,9,protein_coding"
"1303","ENSDARG00000088137,ADGRG2,,"
"1304","ENSDARG00000088762,si:ch211-224l10.4,23,protein_coding"
"1305","ENSDARG00000069334,AGFG2,7,protein_coding"
"1306","ENSDARG00000061985,rbm47,1,protein_coding"
"1307","ENSDARG00000060716,prkx,1,protein_coding"
"1308","ENSDARG00000056502,si:ch73-334d15.4,24,protein_coding"
"1309","ENSDARG00000103816,BX537263.1,5,miRNA"
"1310","ENSDARG00000093739,C9H17orf105,,"
"1311","ENSDARG00000007387,irf2a,1,protein_coding"
"1312","ENSDARG00000090890,cmklr1,5,protein_coding"
"1313","ENSDARG00000092191,si:dkey-238c7.13,18,processed_transcript"
"1314","ENSDARG00000074589,rin2,13,protein_coding"
"1315","ENSDARG00000091972,si:dkey-58f10.7,5,protein_coding"
"1316","ENSDARG00000031246,hbegfb,21,protein_coding"
"1317","ENSDARG00000095125,ftr97,20,protein_coding"
"1318","ENSDARG00000051975,cd99,1,protein_coding"
"1319","ENSDARG00000094846,si:ch211-14a11.5,20,processed_transcript"
"1320","ENSDARG00000023578,lpp,6,protein_coding"
"1321","ENSDARG00000053344,adgrd1,8,protein_coding"
"1322","ENSDARG00000043403,si:dkey-7o6.3,8,protein_coding"
"1323","ENSDARG00000093248,si:dkey-238m4.4,16,protein_coding"
"1324","ENSDARG00000069563,zgc:153151,7,protein_coding"
"1325","ENSDARG00000061174,znf740b,23,protein_coding"
"1326","ENSDARG00000038686,FAM35A,13,protein_coding"
"1327","ENSDARG00000002656,stxbp5a,20,protein_coding"
"1328","ENSDARG00000020204,nf2a,5,protein_coding"
"1329","ENSDARG00000067741,itpkcb,18,protein_coding"
"1330","ENSDARG00000017115,kctd10,5,protein_coding"
"1331","ENSDARG00000089582,si:dkey-265e15.2,4,protein_coding"
"1332","ENSDARG00000055436,ftr97,20,protein_coding"
"1333","ENSDARG00000075269,si:dkey-20i10.7,13,protein_coding"
"1334","ENSDARG00000003311,pank2,13,protein_coding"
"1335","ENSDARG00000104415,si:ch73-236c18.6,1,protein_coding"
"1336","ENSDARG00000075560,kmt2cb,2,protein_coding"
"1337","ENSDARG00000094451,cfp,8,protein_coding"
"1338","ENSDARG00000092979,pias2,5,protein_coding"
"1339","ENSDARG00000092746,si:ch211-150o23.2,8,protein_coding"
"1340","ENSDARG00000092022,si:dkey-256e7.8,1,protein_coding"
"1341","ENSDARG00000074441,gp1bb,8,protein_coding"
"1342","ENSDARG00000095540,sid1,11,protein_coding"
"1343","ENSDARG00000091951,NUGGC,,"
"1344","ENSDARG00000091631,si:ch211-197h24.6,16,protein_coding"
"1345","ENSDARG00000042031,gorab,20,protein_coding"
"1346","ENSDARG00000094408,,1,protein_coding"
"1347","ENSDARG00000045827,lyrm5b,25,protein_coding"
"1348","ENSDARG00000094567,si:dkey-14a7.3,20,lincRNA"
"1349","ENSDARG00000093019,si:dkey-83k24.5,8,protein_coding"
"1350","ENSDARG00000092806,,1,protein_coding"
"1351","ENSDARG00000093936,si:dkeyp-1h4.6,18,protein_coding"
"1352","ENSDARG00000093629,si:ch211-106h4.4,2,protein_coding"
"1353","ENSDARG00000042848,pcmtl,17,protein_coding"
"1354","ENSDARG00000093960,si:dkey-111e8.5,5,protein_coding"
"1355","ENSDARG00000016188,SBNO2,,"
"1356","ENSDARG00000035990,cited4a,19,protein_coding"
"1357","ENSDARG00000042859,slc5a6a,20,protein_coding"
"1358","ENSDARG00000092337,gas5,8,processed_transcript"
"1359","ENSDARG00000035810,rgcc,9,protein_coding"
"1360","ENSDARG00000044550,hif1al2,21,protein_coding"
"1361","ENSDARG00000007976,si:ch211-220f16.2,18,protein_coding"
"1362","ENSDARG00000022623,fbxo44,23,protein_coding"
"1363","ENSDARG00000090219,wdr45,10,protein_coding"
"1364","ENSDARG00000097238,ba1l,3,protein_coding"
"1365","ENSDARG00000087994,CU138503.1,14,protein_coding"
"1366","ENSDARG00000015905,lztr1,5,protein_coding"
"1367","ENSDARG00000095288,rusc2,5,protein_coding"
"1368","ENSDARG00000092225,si:dkeyp-13a3.10,2,protein_coding"
"1369","ENSDARG00000095304,si:ch211-207c6.2,5,protein_coding"
"1370","ENSDARG00000044561,ccr7,6,protein_coding"
"1371","ENSDARG00000094935,si:dkey-58f10.11,5,protein_coding"
"1372","ENSDARG00000038306,tsc22d1,9,protein_coding"
"1373","ENSDARG00000039150,lgmn,13,protein_coding"
"1374","ENSDARG00000095332,si:dkey-14d8.1,4,protein_coding"
"1375","ENSDARG00000095065,si:ch211-113e8.9,1,protein_coding"
"1376","ENSDARG00000092493,si:dkeyp-44a8.2,14,protein_coding"
"1377","ENSDARG00000095623,dpm2,5,protein_coding"
"1378","ENSDARG00000025847,sox12,11,protein_coding"
"1379","ENSDARG00000086091,kcnn4,16,protein_coding"
"1380","ENSDARG00000093272,igic1s1,24,protein_coding"
"1381","ENSDARG00000092428,si:ch211-224b1.5,2,processed_transcript"
"1382","ENSDARG00000011570,pou6f1,23,protein_coding"
"1383","ENSDARG00000093549,sepp1a,8,protein_coding"
"1384","ENSDARG00000089885,slc16a12b,12,protein_coding"
"1385","ENSDARG00000033706,adora2aa,8,protein_coding"
"1386","ENSDARG00000004378,yrk,19,protein_coding"
"1387","ENSDARG00000044129,si:ch211-214p16.1,17,processed_transcript"
"1388","ENSDARG00000092653,si:dkey-1h24.6,1,protein_coding"
"1389","ENSDARG00000092816,si:dkey-93n13.2,3,protein_coding"
"1390","ENSDARG00000094845,,1,protein_coding"
"1391","ENSDARG00000059835,zfyve27,1,protein_coding"
"1392","ENSDARG00000055569,ghdc,12,protein_coding"
"1393","ENSDARG00000092243,si:ch211-163b2.2,8,lincRNA"
"1394","ENSDARG00000014059,cldn5b,10,protein_coding"
"1395","ENSDARG00000056252,sort1b,8,protein_coding"
"1396","ENSDARG00000093570,si:dkey-25o1.7,24,protein_coding"
"1397","ENSDARG00000024717,selenbp1,16,protein_coding"
"1398","ENSDARG00000092626,zgc:174931,8,protein_coding"
"1399","ENSDARG00000022129,rbm4.3,7,protein_coding"
"1400","ENSDARG00000094719,si:dkeyp-1h4.9,18,processed_transcript"
"1401","ENSDARG00000074635,abca1a,1,protein_coding"
"1402","ENSDARG00000092680,si:dkey-58f10.12,5,protein_coding"
"1403","ENSDARG00000095627,c1qc,21,protein_coding"
"1404","ENSDARG00000076534,si:ch211-14a17.10,2,protein_coding"
"1405","ENSDARG00000076554,cdkn1a,22,protein_coding"
"1406","ENSDARG00000061737,ece1,11,protein_coding"
"1407","ENSDARG00000093456,si:dkey-71p21.9,13,lincRNA"
"1408","ENSDARG00000039263,zbtb48,23,protein_coding"
"1409","ENSDARG00000062425,C9H2orf69,9,protein_coding"
"1410","ENSDARG00000037276,map9,1,protein_coding"
"1411","ENSDARG00000091902,b3gnt2b,17,protein_coding"
"1412","ENSDARG00000086553,si:dkey-17e16.8,21,protein_coding"
"1413","ENSDARG00000038618,cpt2,8,protein_coding"
"1414","ENSDARG00000073696,frmd8,10,protein_coding"
"1415","ENSDARG00000092310,si:ch211-199g17.2,19,protein_coding"
"1416","ENSDARG00000095150,si:dkey-114c15.5,5,protein_coding"
"1417","ENSDARG00000090159,si:dkey-37m8.8,22,processed_transcript"
"1418","ENSDARG00000086374,isg15,5,protein_coding"
"1419","ENSDARG00000043856,amd1,20,protein_coding"
"1420","ENSDARG00000036888,C25HXorf38,,"
"1421","ENSDARG00000089873,socs1b,1,protein_coding"
"1422","ENSDARG00000038938,ssfa2,9,protein_coding"
"1423","ENSDARG00000093418,si:dkey-216e24.9,9,protein_coding"
"1424","ENSDARG00000092028,si:dkey-4c23.3,22,protein_coding"
"1425","ENSDARG00000089441,si:ch211-105c13.3,16,protein_coding"
"1426","ENSDARG00000053836,si:ch211-284o19.8,2,protein_coding"
"1427","ENSDARG00000032218,acss3,4,protein_coding"
"1428","ENSDARG00000093198,C3,,"
"1429","ENSDARG00000093124,scpp8,10,protein_coding"
"1430","ENSDARG00000093199,,15,protein_coding"
"1431","ENSDARG00000093761,si:ch211-250k18.7,22,protein_coding"
"1432","ENSDARG00000093857,si:dkey-79f11.10,1,protein_coding"
"1433","ENSDARG00000014825,ZNF865,,"
"1434","ENSDARG00000088841,dnal4b,22,protein_coding"
"1435","ENSDARG00000094732,mical3b,4,protein_coding"
"1436","ENSDARG00000069342,,2,protein_coding"
"1437","ENSDARG00000029660,commd5,14,protein_coding"
"1438","ENSDARG00000095778,si:rp71-1k13.5,23,processed_transcript"
"1439","ENSDARG00000092778,si:ch73-338o16.4,3,protein_coding"
"1440","ENSDARG00000002353,tagapa,17,protein_coding"
"1441","ENSDARG00000074634,keap1b,6,protein_coding"
